name,party,speech
"
Beatrix von Storch",AfD,"Vielen herzlichen Dank. – Eine Kurzintervention oder 
persönliche Erklärung, weil ich direkt angesprochen wor-
den bin: Die Kollegin Vogler sagte, wir wären in der 
Parlamentarischen Gesellschaft gewesen, und ich hätte 
mich da irgendwie trans-, queer- und sonst-was-phob ge-äußert.
(Anke Hennig [SPD]: Das machen Sie doch in 
der Öffentlichkeit immer!)
Ich glaube, ich kann mich an den Abend sehr gut er-
innern. Sie saßen an dem Abend einen Tisch neben uns. An dem Tisch, an dem ich saß, habe ich gar nicht geredet, 
sondern ein zwölfjähriger Sohn eines unserer Abgeord-
netenkollegen. Er heißt Götz.
(Daniel Baldy [SPD]: Mit dem waren Sie in 
der Kneipe? Das ist ja sehr erwachsen!)
Und Götz, der zwölf Jahre alt ist, hat sehr laut erzählt von 
den Problemen, die er in der Schule hat. In seiner Klasse – 
Zwölfjährige –, hat er erzählt, gebe es, ich glaube, zwei Bisexuelle, einen Pansexuellen und einen Fuchs. Er wurde zum Direktor gerufen, weil er den Fuchs nicht 
als Fuchs behandelt hat, sondern irgendwie als Mitschü -
ler, und darüber hat er erzählt.
(Anke Hennig [SPD]: Wer soll Ihnen das denn 
glauben?)
Das Einzige, was ich an dem Abend gesagt habe, war, 
dass ich zu Götz gesagt habe: Götz, ich höre so schlecht; 
rede mal etwas lauter. – Das habe ich gesagt, damit Sie da drüben hören, was ein Zwölfjähriger aus einer ländlichen"
"
Beatrix von Storch",AfD,"Was für eine Katastrophe! Ich glaube, von dem Abend 
erzählen Sie. Ich will hier nur bestreiten, dass ich mich 
irgendwie-phob geäußert habe.
(Anke Hennig [SPD]: Das machen Sie in der 
Öffentlichkeit doch ständig!)
Vielen herzlichen Dank."
"
Kathrin Vogler",Die Linke,"Frau von Storch, wenn Sie schon mit zwölfjährigen 
Kindern abends um 9 Uhr in eine Raucherkneipe gehen, 
dann sollten Sie sich hier bitte nicht über den Schutz von 
Kindern und Jugendlichen unterhalten.
(Heiterkeit und Beifall bei der Linken, der SPD und dem BÜNDNIS 90/DIE GRÜNEN sowie 
bei Abgeordneten der FDP – Lachen der Abg. 
Beatrix von Storch [AfD] – Stephan Brandner [AfD]: Ist das armselig! – Weiterer Zuruf von der AfD: Und das sagt Die Linke! – Anke 
Hennig [SPD]: Entlarvt!)
Das war nicht das einzige Mal, dass ich Sie in dieser 
Kneipe sitzen gesehen habe und dass ich Ihnen unfreiwil-lig zuhören musste. Sie haben eine laute Stimme.
(Beatrix von Storch [AfD]: Ich habe da gar 
nichts gesagt!)
Und für alles, was ich hier erzähle, gibt es Zeuginnen und Zeugen. Sie brauchen sich da gar nicht rauszureden.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27573 
(A) 
(B) (C) 
(D) Kathrin Vogler 
(Anke Hennig [SPD]: Genau!)
Also, Frau von Storch, bleiben Sie lieber sitzen, anstatt 
sich hier um Kopf und Kragen zu reden.
Die AfD ist keine Partei, die Kinder schützen möchte. 
Sie wollen Kinder in die Armut schicken. Sie wollen Kinder ohne angemessenen Wohnraum lassen. Sie wollen 
Kinder an der Grenze erschießen lassen.
(Beatrix von Storch [AfD]: Mauermörderpar-
tei!)
Sie sollten sich schämen und hier nicht über Kinderschutz 
reden."
"
Heike Engelhardt",SPD,"Vielen Dank. – Sehr geehrte Frau Präsidentin! Liebe 
Kolleginnen und Kollegen der demokratischen Parteien! Was wir heute hier schon wieder alles an rechtsextremen 
Unwahrheiten und verzerrten Darstellungen hören muss -
ten,
(Stephan Brandner [AfD]: Zum Beispiel? 
Nennen Sie mal drei Beispiele!)
ist an Ekelhaftigkeit nicht zu überbieten.

Glauben Sie wirklich, dass in Deutschland ein Medi-
kament zugelassen würde, das so große Risiken hat, wie Sie behaupten?
(Jörg Schneider [AfD]: Entschuldigen Sie mal! 
Pubertätsblocker?)
Anders als Sie glauben machen wollen, geht es Ihnen 
nicht ums Kindeswohl. Im Gegenteil: Sie wollen un-
umkehrbare Fakten schaffen für Kinder, die sich viel-
leicht ihres Geschlechts noch nicht sicher sind.
(Nicole Höchst [AfD]: Mit zwei Jahren! – Beatrix von Storch [AfD]: Wahnsinn! Man kann da einfach mal auf den Knopf drücken! Dann wirft man mal so ein paar Pillen ein, und 
dann ist alles gut! Geisteskrank!)
Pubertätsblocker ermöglichen es, mehr Zeit für die weit-reichenden Entscheidungen einer Geschlechtsanglei-
chung zu gewinnen.Übrigens: Die Medikamente, die Sie hier verbieten 
wollen, werden seit Jahrzehnten eingesetzt, nämlich bei Kindern, die zu früh in die Pubertät starten.
(Beatrix von Storch [AfD]: „Zu früh“!)
Es ist eher ein Skandal, dass – ähnlich wie bei der Frauen-gesundheit – die Arzneimittelforschung für Transper-
sonen über Jahrzehnte hinweg vernachlässigt wurde und 
immer noch wird.

Hier müssen wir in der nächsten Legislatur dringend tätig 
werden.
Ihnen von der AfD und leider auch einigen bei Ihrer 
aktuellen Liebelei hier im Hohen Haus, der Union, geht es nicht um das Wohl der Kinder. Ihre Motivation ist der 
Hass auf Menschen, die einfach nur in Frieden leben wollen.

Anträge wie dieser zeigen einmal mehr, warum wir – 
und so viel Selbstkritik muss hier erlaubt sein – das AfD- Verbotsverfahren einleiten müssen. Ich hätte diesem An -
trag hier im Plenum gestern sehr gerne zugestimmt.
(René Bochmann [AfD]: Und das nennt sich 
Demokratie!)
Wir haben hier eine große Chance verpasst.
(Stephan Brandner [AfD]: Warum haben Sie 
keine Sofortabstimmung beantragt? Sie haben 
sich ja nicht getraut!)"
"
Ralph Edelhäußer",CDU/CSU,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Gleich vorneweg: Die uns vorliegenden An-träge vonseiten der AfD lehnen wir von der Union klar 
und deutlich ab; denn dabei handelt es sich ganz klar um 
pure ideologische V orschläge vonseiten der AfD, die uns aus unserer Sicht keinen Mehrwert für eine vernünftige 
und ausgewogene Gesellschaftspolitik in Deutschland 
bieten.

Kommen wir mal zum ersten Antrag. Da möchte ich 
anmerken, dass es Regelungen gibt, die eindeutig sind, 
welche medizinischen Eingriffe es für Jugendliche ab 
14 Jahren gibt. Die werden in enger Zusammenarbeit mit entsprechenden Fachleuten gemacht. Es gibt dazu 
auch noch die Beteiligung des Familiengerichts. Das ist 
alles so geregelt worden, dass das Kindeswohl eindeutig im Mittelpunkt steht, und das ist gut so. Wir als Union vertrauen dem bestehenden System und dem verantwort -
lichen Umgang damit. Da müssen wir nichts machen; es gibt keine Notwendigkeit, dass wir seitens der Politik da irgendwie eingreifen.

Den zweiten Antrag lehnen wir genauso ab. Die früh-
kindliche Aufklärung ist eine wertvolle Maßnahme, um unserem Nachwuchs frühzeitig Respekt und Toleranz für 
andere Menschen und deren Lebensweisen beizubringen. 
Da brauchen wir keine ideologische Indoktrination oder irgendwas anderes. Da geht es um fundamentale Dinge wie Achtsamkeit; das ist wichtig. Die Kinder sollen 
selbstbewusst und empathisch aufwachsen und sich ein -
fach bei uns wohlfühlen. Das ist doch das Hauptargu-
ment.
Dazu kommt, dass die Kinder entsprechend ihrer Ent-
wicklungsstufe nicht überfordert werden sollen; sie sol-len altersgerecht und sachlich aufgeklärt werden. Die 
Themen dürfen die Kinder nicht überfordern. Das wird 
mit den bestehenden Programmen auch sichergestellt. Deswegen sind sie wichtig, um einen gewissenhaften Umgang mit diesen Inhalten sicherzustellen."
"
Dorothee Bär",CDU/CSU,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Meine sehr geehrten Damen und Herren! Ein 
weiterer guter Tag für die Frauen in unserem Land: Das Gewalthilfegesetz kommt. Die Union hält Wort, und 
Friedrich Merz genauso,
(Lachen bei Abgeordneten der SPD)
auch wenn in den sozialen Netzwerken der eine oder 
andere im Vorfeld versucht hat, das anders darzustellen. 
Also vielen herzlichen Dank, dass wir heute zu so einem 
wichtigen Meilenstein kommen.

Warum ist das wichtig? Warum war es gerade unserer 
Fraktion wichtig? Weil der Gesetzentwurf, den die Bun-desfrauenministerin vorgelegt hatte – praktisch genau an dem Tag, als die Regierung auseinandergeflogen ist –, schlicht nicht zustimmungsfähig war, weil er dann doch 
mit sehr heißer Nadel gestrickt war. Ich bin froh, dass wir 
uns auch fraktionsübergreifend noch mal zusammen -
gesetzt haben, um das Ganze zu verbessern für die Frauen 
in unserem Land. Wir waren uns ja doch im Ziel einig, 
dass der Schutz von Frauen und Kindern ausgebaut wer-Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27577 
(A) 
(B) (C) 
(D) 
den und oberste Priorität haben muss. Deswegen freut es 
mich besonders, dass wir das Ganze noch in dieser lau-
fenden Legislaturperiode abschließen können.
Wir haben es hinbekommen, und das ist eine kleine 
Sensation. Wir haben sehr hart gerungen. Noch bis ein paar Minuten vor Beginn der Ausschusssitzung am Mitt-woch haben wir alle uns – ich schaue meine Kollegin 
Silvia Breher an – gemeinsam mit den Kolleginnen und 
Kollegen reingehängt. Dass es funktionieren kann, sieht man schon an den Reaktionen der letzten Tage von den Beratungsstellen und von den Frauenhäusern; da lag 
wirklich eine sehr, sehr große Hoffnung von vielen auf 
uns. Es war nicht einfach. Wir haben intensiv verhandelt und haben nicht nur kosmetische Änderungen vorgenom -
men. Ein Schutz für alle wäre eben kein Frauenschutz mehr gewesen. Auch deswegen freue ich mich, weil es immer unser Ziel war, den Schutz von Frauen und Kin -
dern in den Mittelpunkt zu stellen. Sonst wäre es nämlich kein echter Schutz gewesen. Weibliche Gewaltopfer brauchen einen geschützten Raum, in dem sie sich sicher und angstfrei aufhalten können.

Das ist auch der Kern der Istanbul-Konvention. Hier 
hat Deutschland auch Wort gehalten. Männergewalt, die sich gegen Frauen richtet, nur weil sie Frauen sind, ist 
strukturell bedingt. Deswegen müssen wir alles daran -
setzen, dass wir echte Gewalt immer so benennen.
Ich muss hier ein Erlebnis von heute ansprechen, weil 
mich das wirklich tief getroffen hat: Das, was die Bun-
desaußenministerin heute hier gemacht hat mit den fal-
schen Sexismusvorwürfen gegen Thorsten Frei, hilft kei-
ner einzigen Frau in diesem Land.

Das war nicht in Ordnung, und ich hoffe wirklich sehr, 
dass sie sich dafür bei Thorsten Frei entschuldigt.

– Entschuldigung! Finden Sie es gut, dass sie einen fal-
schen Sexismusvorwurf erhoben hat? Ich finde es nicht 
gut. Damit helfen wir niemandem! Wir müssen immer bei der Wahrheit bleiben."
"
Dorothee Bär",CDU/CSU,"Letzter Satz. – Heute aber ist erst mal ein guter Tag. Ich 
sage jetzt das Gleiche, was ich gestern in meiner Rede zum Thema „Mutterschutz nach Fehlgeburten“ gesagt 
habe: Gut, dass wir heute dieses Gesetz verabschieden. 
Ich wünsche mir trotzdem, dass es keine einzige Frau in diesem Land brauchen wird.
Ganz herzlichen Dank."
"
Daniel Baldy",SPD,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Jedes fünfte Mädchen und jeder neunte Junge – 
das ist laut Schätzungen des Weißen Rings die Zahl der-
jenigen, die vor ihrem 18. Geburtstag sexualisierte Ge-
walt erleben. Wenn wir alle in uns gehen, dann merken 
wir: Auch wir kennen ziemlich sicher Betroffene, und wir 
kennen dann wohl auch Täter. Zugegeben, das ist kein schöner Gedanke, aber genau dieser Gedanke muss sein, wenn wir Kinder und Jugendliche in Deutschland vor 
sexualisierter Gewalt schützen, stattfindende Gewalt un -
terbrechen und mehr Verantwortung übernehmen wollen 
für die Jüngsten und Verwundbarsten unserer Gesell-
schaft. Dass unsere Gesellschaft in den letzten Jahren 
sensibler geworden ist für dieses Thema, dass es hier im Deutschen Bundestag, aber auch in der öffentlichen De -
batte aufgegriffen wurde, das haben wir der Unabhängi-gen Beauftragten für Fragen des sexuellen Kindesmiss-brauchs zu verdanken.

Lassen Sie mich deshalb zuerst der aktuellen Beauf-
tragten, Frau Kerstin Claus, danken: für Ihren Einsatz in 
den letzten Jahren, für Ihr Engagement, mit dem Sie das 
Amt ausführen, für die Begleitung unserer parlamentari-schen Arbeit und vor allen Dingen dafür, dass Sie mit der Kampagne „Schieb deine Verantwortung nicht weg!“ die 
Menschen in diesem Land jeden Tag daran erinnern, wie 
wichtig Hinschauen und Zuhören ist. Vielen, vielen Dank für Ihre wertvolle Arbeit!

Dieses Amt der Unabhängigen Beauftragten verankern 
wir heute gesetzlich und mit ihm zusammen die Un-
abhängige Aufarbeitungskommission und den Betroffe-Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27578 
(A) 
(B) (C) 
(D) Dorothee Bär 
nenrat. Auch sie sind auf der Tribüne vertreten. Ihnen 
danke ich ebenso für Ihre wichtige Arbeit in den letzten 
Jahren, aber auch schon für Ihre Arbeit in der Zukunft.
Gerade weil diese Arbeit und weil sexuelle Gewalt an 
Kindern und Jugendlichen nicht ignoriert werden darf, sondern in die Öffentlichkeit gehört und auch hier im Deutschen Bundestag thematisiert werden muss, haben 
wir uns darauf geeinigt, die Berichte der Beauftragten 
und der Kommission regelmäßig hier im Bundestag zu debattieren, und zwar, anders als im Entwurf vorgesehen, häufiger als alle vier Jahre. Denn wir sind der Meinung: 
Sensibilisierung geschieht erst dann, wenn sexualisierte 
Gewalt an Kindern und Jugendlichen nicht totgeschwie -
gen wird, sondern auch hier, im höchsten deutschen Par-
lament, endlich einen angemessenen Platz findet. Wir 
dürfen dieses Thema nicht ignorieren, und wir werden es auch nicht ignorieren, liebe Kolleginnen und Kolle -
gen!

Die Anhörung am 4. November, zwei Tage vor dem 
Ampel-Aus, hat deutlich gemacht, wie dringend dieses Gesetz gebraucht wird, aber auch, wie groß die Unter-
stützung in den demokratischen Fraktionen für dieses wichtige Gesetz ist; denn dieses Gesetz macht vieles besser. Wir beziehen den Schutz von Kindern im digita -
len Raum nun explizit in den Aufgabenbereich der Beauf-
tragten ein. Wir beziehen Kinder und Jugendliche in die 
Erstellung von Schutzkonzepten ein. Und wir unterstüt-zen Betroffene bei der individuellen Aufarbeitung durch 
Akteneinsicht bis zum 100. Lebensjahr; denn viele Be-
troffene benötigen Jahre, Jahrzehnte und manchmal ein ganzes Leben, bis sie zu diesem großen Schritt bereit 
sind. Wir wollen ihnen die Zeit geben, die sie brauchen.

Abschließend möchte ich mich ganz herzlich bedanken 
bei meinen Berichterstatterkolleginnen – bei Denise 
Loop, bei Frau Wiesmann und bei Katja Adler – für die 
vertrauensvolle Zusammenarbeit in den letzten Tagen; es 
waren ja – das muss man an der Stelle sagen – eher Tage als Wochen. Stellvertretend für das BMFSFJ auch ein ganz großes Dankeschön an Frau Staatssekretärin 
Deligöz, die dort oben sitzt. Auch Ihnen und Ihrem 
Haus ein ganz großes Dankeschön!

Der wichtigste Dank geht jedoch an die vielen Betrof-
fenen, die in den letzten Jahren öffentlich über ihr per-
sönliches Leid gesprochen haben. Sie haben damit andere Betroffene unglaublich ermutigt, über ihre eigenen Erleb-
nisse zu sprechen, aber auch Täter zu benennen. Denn es 
sind nicht sie, die Betroffenen, die sich schämen müssen. Es sind die Täter.
Herzlichen Dank."
"
Katja Adler",FDP,"Sehr geehrte Frau Präsidentin! Sehr geehrte Damen 
und Herren! Liebe Gäste hier auf der Tribüne und drau-ßen an den Bildschirmen! Werte Kolleginnen und Kolle-
gen! Nun stehen wir hier, am Ende der 20. Wahlperiode, 
um über ein Gesetz zu entscheiden, das nicht weniger bedeutet als den Schutz der Schwächsten in unserer Ge -
sellschaft: unserer Kinder. Dabei geht es um den Kern unserer Verantwortung als Gesetzgeber. Es geht darum, die Würde, die Unversehrtheit und die Zukunft unserer 
Kinder zu schützen.
Sexuelle Gewalt an Kindern und Jugendlichen ist kein 
abstraktes Problem. Es sind auch keine bloßen Zahlen in 
Statistiken, keine Schlagzeilen, die für einen Moment 
Empörung hervorrufen und dann in Vergessenheit gera -
ten. Es ist ein Problem in der Mitte unserer Gesellschaft. 
Die aktuellen Zahlen des Bundeskriminalamtes zeigen, 
wie akut das Problem gegenwärtig ist, wenn die Straf-
verfolgungsbehörden jährlich über 16 000 Fälle von se-xuellem Missbrauch an Kindern registrieren. Im digitalen 
Raum sieht es mit über 45 000 Fällen von Kinderporno-
grafie im Jahr 2023 noch dramatischer aus.
Hinter jedem einzelnen Fall steht ein grausames Ver-
brechen, das Leben zerstört – und das jeden Tag und 
mitten unter uns. Wir hören oft, dass wir als Gesellschaft 
niemals wegsehen dürfen. Doch zu oft tun wir es. Zu oft fehlen den Betroffenen Anlaufstellen, zu oft scheitert der 
Kampf gegen Täter an bürokratischen Hürden, an man -
gelnder Vernetzung der Behörden, an unzureichenden 
Strukturen.
Mit der gesetzlichen Stärkung der Unabhängigen Be-
auftragten für Fragen des sexuellen Kindesmissbrauchs setzen wir nun ein Zeichen. Es ist ein Meilenstein. Doch wird ein Gesetz allein nicht das Leid der Betroffenen aus 
der Welt schaffen, nicht morgen und auch nicht übermor-
gen. Es wird aber die Strukturen stärken, die Kinder schützen. Es wird die Prävention verbessern. Es wird 
den Betroffenen helfen, schneller Unterstützung zu fin-
den. Wir schulden es den Kindern, die heute noch nicht ahnen, dass sie morgen vielleicht zu Opfern werden. Wir 
schulden es denen, die ihr Schweigen erst nach Jahren 
brechen können. Und wir schulden es all jenen, deren Leben unwiederbringlich zerstört wurde.

Und so wie Missbrauch im familiären Umfeld passiert, 
so geschehen sexuelle Übergriffe auch im weiteren sozia-
len Umfeld, wie zum Beispiel im organisierten Sport, egal ob im Leistungs- oder Breitensport. Einige Miss-brauchsfälle haben mit dem ehemaligen Wasserspringer 
Jan Hempel, mit dem Radsportler Robert Wittkuhn oder 
zuletzt mit den Turnerinnen Tabea Alt und Michelle Timm prominente Gesichter bekommen. Alt und Timm 
zum Beispiel kritisierten systematischen körperlichen 
und mentalen Missbrauch.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27579 
(A) 
(B) (C) 
(D) Daniel Baldy 
Schon heute liegt mit Safe Sport ein Handlungsleitfa-
den zum Schutz von Kindern und Jugendlichen vor 
Grenzverletzungen, sexualisierter Belästigung und Ge-walt im Sport vor. Der Leitfaden definiert klare Verhal-
tensregeln und Sanktionen, um Missbrauch vorzubeugen 
und Betroffene zu schützen. Der Safe Sport Code ver-bietet interpersonale Gewalt in allen Erscheinungsfor-
men.
Auf dieses Know-how kann nun auch die oder der Un-
abhängige Beauftragte für Fragen des sexuellen Kindes-
missbrauchs zurückgreifen; denn es wurde im Gesetz ver-
ankert. Zur Verbesserung des präventiven Schutzes von 
Kindern und Jugendlichen vor sexueller Gewalt und Aus-beutung werden zukünftig zudem wissenschaftlich abge-
sicherte und bundeseinheitliche Angebote, Materialien 
und Medien erstellt, die die vielfältigen Initiativen des Sports berücksichtigen.
Unsere Kinder zählen auf uns, und hinsichtlich des 
Gewalthilfegesetzes weise ich darauf hin, dass die FDP- Bundestagsfraktion die Umsetzung der Istanbul-Konven -
tion unterstützt und ein effektives Gewalthilfegesetz 
fordert, das Schutz vor geschlechtsspezifischer und häus-
licher Gewalt gewährleistet. Der vorliegende Gesetzent-wurf von SPD und Bündnis 90/Die Grünen hat jedoch 
einige Unschärfen. Es fehlt eine langfristige Finanzie-
rung. Der Bund stellt nur befristet Mittel bereit. Die lang-fristige finanzielle Verantwortung wird auf die Länder 
abgewälzt. Eine klare Lösung zur Sicherstellung der Fi-
nanzierung sieht anders aus. Auch hätten wir uns mehr Mut im digitalen Raum gewünscht. Für uns wird die digitale Gewalt zu wenig berücksichtigt.

Der Gesetzentwurf geht nicht ausreichend auf Hass im 
Netz, Cyberstalking und digitale Bedrohungen ein, ob-
wohl diese eine immer größere Rolle in unserer, in der Welt der Frauen spielen. Es braucht daher gezielte Maß-nahmen gegen digitale Gewalt. Polizei und Justiz benö-
tigen verbindliche Schulungen. Opferschutzmechanis-
men müssen gestärkt und Täter konsequenter verfolgt werden. Ebenso fehlen Second-Stage-Konzepte. Es gibt 
keine Maßnahmen, die Frauen nach dem Aufenthalt in 
einem Frauenhaus dabei unterstützen, in ein eigenständi -
ges Leben überzugehen.
Die FDP-Fraktion hat einen eigenen Antrag ein-
gebracht, der diese Defizite adressiert. Daher weise ich gerne noch einmal auf unsere Idee vom Nikolaustag 2024 hin.
Vielen Dank allen Beteiligten für die gute und kon-
struktive Zusammenarbeit."
"
Thomas Ehrhorn",AfD,"Frau Präsidentin! Meine Damen und Herren! Die Ge-
schichte des sexuellen Kindesmissbrauchs in der Bundes-republik ist leider auch die Geschichte permanenten staatlichen Versagens. Auch wenn die meisten Miss-
brauchsfälle im sozialen Nahfeld der Familien stattfin-
den, müssen wir doch unseren Blick in besonderer Weise auf den institutionellen Missbrauch richten: dorthin, wo 
sich in bestimmten Einrichtungen Strukturen bilden, die 
Missbrauch begünstigen, dorthin, wo Täter Netzwerke des Schweigens und Vertuschens schaffen, wo die Auf -
klärungsmöglichkeiten der Strafverfolgungsbehörden an 
ihre Grenzen stoßen und ganz besonders dorthin, wo 
Pädophile versuchen, ihre widerwärtigen und kranken Neigungen gesellschaftsfähig zu machen.

30 Jahre lang lief in Berlin das sogenannte Kentler- 
Experiment, bei dem – mit Duldung und unter der Ver-
antwortung des Berliner Senats – Straßenkinder an zum Teil vorbestrafte, pädophile Pflegeväter vermittelt wur-den. 20 Jahre Missbrauch an der sogenannten reform-
pädagogischen Odenwaldschule in Hessen: mindestens 
500 Opfer. Jahrzehntelanger Missbrauch in der katho-lischen Kirche: 1 697 Opfer, 877 ermittelte Täter allein 
in den drei Bistümern Freising, Mainz und Freiburg."
"
Leni Breymaier",SPD,"Schönen guten Abend, Frau Präsidentin! Liebe Kolle-
ginnen und Kollegen! Liebe Frau Ministerin! Liebe Staatssekretärinnen! Falls Ihnen der Abend jetzt lang vor-
kommt, will ich sagen: Wir haben eine verbundene 
Debatte. Wir haben zwei wichtige Gesetze zusammen-gedampft, die es eigentlich beide wert wären, ausführlich debattiert zu werden. Aber uns war es wichtiger, dass wir 
die Dinge heute noch über die Rampe geschoben bekom-
men. Denn heute ist der letzte Sitzungstag der letzten Sitzungswoche in dieser Legislaturperiode, und wir wol-
len die Sachen fertig machen, und wir machen sie fertig.
Ich freue mich wie Bolle, dass wir heute das Gewalt-
hilfegesetz hinkriegen und dass der Bund 2,6 Milliarden Euro in die Gewalthilfe, den Schutz von Frauen, in der 
Bundesrepublik Deutschland steckt. Das ist großartig. Liebe Katja Adler, wenn hier beklagt wird, das sei dauer -
haft zu wenig Geld, sage ich Ihnen: Hey, bei Lindner 
haben wir so lange gewartet. Aber sobald der neue Fi-
nanzminister im Amt war, zack, hatten wir den Geldtopf gefunden.
Ich freue mich echt darüber, dass wir das jetzt verabschie-
den und den Schutz umsetzen können.
Wir wollen den Schutz vor Gewalt stärken. Wir wollen 
Hilfe bei Gewalt organisieren. Aber die Königsdisziplin dieses ganzen Gesetzes ist tatsächlich die Verhinderung 
von Gewalt. Das war auch meiner Kollegin Ariane Fäscher total wichtig. Ariane Fäscher hat als Bericht -
erstatterin die Dinge verhandelt. Aber heute und auch 
schon die ganze Woche ist sie krank, hat Fieber und 
Rotz im Gesicht, kommt nicht hierher, höchstens zu Ab-stimmungen. Und sie hält es gar nicht aus, dass sie diese 
Rede hier nicht halten kann. Ihr war es die ganzen Jahre 
so wichtig, dass wir Frauenhäuser bauen und stärken. Natürlich ist das wichtig, aber am besten ist es, wenn 
Frauen da gar nicht erst reinkommen müssen.
Wir verankern jetzt gesetzlich die systematische Prä-
vention als wirksames Instrument zur Verhütung von Ge-
walt. Dabei geht es nicht nur um Täterarbeit, sondern 
auch um die Auseinandersetzung mit Rollenbildern und 
die gezielte Stärkung von Mädchen. Das ist ein Paradig-menwechsel, der langfristig viel, viel Leid verhindern 
wird. Darüber freuen wir uns.

Natürlich muss man bei dem Thema auch die Ge-
schlechtsidentität im Auge haben. Da haben wir interna-
tionale Vorschriften, und die werden selbstverständlich in 
Deutschland auch umgesetzt werden.

An der Stelle ein Dank an die Zivilgesellschaft, die uns 
da total unterstützt hat, und ein Dank an all die Mitarbei-
terinnen und Betreiberinnen von Frauenhäusern und Be-ratungsstellen, die bis jetzt immer irgendwie mit der Hand am Arm ihre Arbeit gemacht haben und die darauf 
warten, dass wir dieses Gesetz jetzt verabschieden. Ein 
besonderer Dank auch an die Berichterstatterinnen! Als ich mit Silvia Breher am Dienstagabend um Viertel vor 
neun telefoniert habe, hätte ich nicht gedacht, dass wir am 
Mittwochmorgen um zehn nach halb zehn das Gesetz fertig haben. Ich habe nicht mehr daran geglaubt.
(Dorothee Bär [CDU/CSU]: Wir schon!)
Deshalb freue ich mich so. Das ist gelungen, weil wir nie 
aufgeben und nie den Tisch verlassen.

Weil ich jetzt den Tisch verlasse – das wird wahr-
scheinlich meine letzte Rede sein; man weiß es nicht ganz genau, aber ich gehe davon aus –, wollte ich zum Schluss sagen: Es war mir meistens eine Freude, hier zu 
sein, aber immer eine Ehre. Vielen Dank für das gute 
Miteinander!
 Anlage 9Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27581 
(A) 
(B) (C) 
(D) Thomas Ehrhorn 
SPD sowie Abgeordnete des BÜNDNIS-
SES 90/DIE GRÜNEN erheben sich)"
